102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200188	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w odzi                                                                                              	C.Oper         	¢d«                          	ul. Aleksandrowska 47                   	91-205	¢d«                          	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	àDZKIE               	¢d«                     	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200191	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Olsztynie                                                                                          	C.Oper         	Olsztyn                       	ul. Jasna 13                            	10-427	Olsztyn                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	WARMIãSKO-MAZURSKIE   	Olsztyn                  	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200205	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Poznaniu                                                                                           	C.Oper         	Poznaä                        	os. Bolesˆawa —miaˆego 121              	60-682	Poznaä                        	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	WIELKOPOLSKIE         	Poznaä                   	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200218	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Rzeszowie                                                                                          	C.Oper         	Rzesz¢w                       	ul. Grunwaldzka 17                      	35-068	Rzesz¢w                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	PODKARPACKIE          	Rzesz¢w                  	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200221	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Szczecinie                                                                                         	C.Oper         	Szczecin                      	ul. Lucjana Rydla 41/42                 	70-783	Szczecin                      	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	ZACHODNIOPOMORSKIE    	Szczecin                 	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200234	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG we Wrocˆawiu                                                                                         	C.Oper         	Wrocˆaw                       	ul. Powstaäc¢w —l¥skich 60              	53-333	Wrocˆaw                       	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	DOLNO—L¤SKIE          	Wrocˆaw                  	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200247	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Zielonej G¢rze                                                                                     	C.Oper         	Zielona G¢ra                  	ul. Powstaäc¢w Warszawy 7               	65-807	Zielona G¢ra                  	      	      	            	                    	                    	                    	                    	2018-03-15	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	LUBUSKIE              	Zielona G¢ra             	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200250	Centrum Zarz¥dzania Got¢wk¥ Zesp¢ˆ CZG w Biaˆymstoku                                                                                        	C.Oper         	Biaˆystok                     	ul. Bolesˆawa Chrobrego 2               	15-057	Biaˆystok                     	      	      	            	                    	                    	                    	                    	2018-03-19	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	PODLASKIE             	Biaˆystok                	                              	                                        	      	                              	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200263	Centrala-rachunki Banku                                                                                                                     	Inne           	Warszawa                      	ul. Puˆawska 15                         	02-515	Warszawa                      	      	      	            	22 521 47 74        	                    	                    	                    	2018-06-27	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	Warszawa                      	ul. Puˆawska 15                         	02-515	Warszawa                      	      	      	     	        
102  	Powszechna Kasa Oszcz©dno˜ci Bank Polski Sp¢ˆka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200276	Oddziaˆ w Sˆowacji/poboŸka zahraniŸnej banky                                                                                                	O.             	Bratislava                    	Pribinova 10                            	81-109	Bratislava                    	      	      	            	22 521 87 64        	22 521 98 56        	                    	                    	2019-06-03	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	                      	                         	                              	                                        	      	                              	      	      	     	        
